"Video ID",Title,Length,Published
I3uvLeVD6uU,"Globalización en la crisis - Ganadores y perdedores en el comercio mundial (1/2) | DW Documental","42m 32s","2023-01-06T20:00:11Z"
"JWJUOrf-Oww","Los bosques de Rusia en peligro | DW Documental","42m 32s","2023-01-05T20:00:10Z"
kGNTTsizOl0,"El peligro de los aludes - Seguridad para las pistas austriacas | DW Documental","28m 26s","2023-01-04T20:00:18Z"
Whii_aLapA4,"¿Cómo se generan los efectos sonoros de las películas? | DW Documental","25m 57s","2023-01-01T20:00:11Z"
_Q5zhuL88ig,"El hielo que se derrite en el Ártico (2/2) | DW Documental","42m 27s","2022-12-30T20:00:09Z"
"XchdB-vCU00","El remoto archipiélago ártico de Spitsbergen | DW Documental","28m 26s","2022-12-27T20:00:09Z"
xNV1mnpBNzo,"El hielo que se derrite en el Ártico (1/2) | DW Documental","42m 26s","2022-12-25T20:00:15Z"
"oWX-hFO3_Uk","África, la ingeniería genética y la Fundación Gates | DW Documental","42m 26s","2022-12-21T20:00:23Z"
zB8DuS6EWKA,"¿Por qué los zoos sacrifican animales? | DW Documental","28m 26s","2022-12-20T20:00:26Z"
"DLUJZ1nvN-w","El futuro del cultivo y la producción del café | DW Documental","25m 56s","2022-12-18T20:00:02Z"
qGQwvd6bd1I,"Multitasking - ¿Cuánto se puede hacer al mismo tiempo? | DW Documental","42m 26s","2022-12-16T20:00:14Z"
07_N3JouWok,"Médicos, aplicaciones e inteligencia artificial - el futuro de los diagnósticos | DW Documental","28m 26s","2022-12-13T20:00:00Z"
gWZ0FFNa5Ts,"Guerra de Ucrania - La vida en Jersón bajo el dominio ruso | DW Documental","42m 26s","2022-12-09T20:00:13Z"
cKvTBTpIIHA,"Seda suiza - para una moda sostenible | DW Documental","28m 26s","2022-12-06T20:00:20Z"
biMBsVYztcU,"El grano y la guerra en Ucrania - ¿Utiliza Rusia el trigo como medio de presión? | DW Documental","28m 26s","2022-11-29T20:00:17Z"
"E-Y5iy3Y7Ic","Crímenes de guerra en Ucrania | DW Documental","42m 26s","2022-11-26T20:00:07Z"
ctXQ0JJfGqY,"La vida judía en Estambul - Freitagnacht Jews | DW Documental","46m 41s","2022-11-25T20:00:13Z"
"eLrf7-bCkBA","Las mujeres se rebelan en Latinoamérica | DW Documental","42m 26s","2022-11-24T20:00:10Z"
5IFUtxYVF0o,"Qatar - El paraíso de los contrastes | DW Documental","42m 26s","2022-11-23T20:00:02Z"
sQuU5UE0RWk,"Qatar - Polémica Copa del Mundo | DW Documental","28m 26s","2022-11-22T20:00:30Z"
"wL-Pv5lpHD0","Un lobby para animales ""feos” | DW Documental","25m 56s","2022-11-20T20:00:26Z"
gYqEnFo8WJU,"La primera crisis financiera moderna en el mundo globalizado | DW Documental","42m 26s","2022-11-16T20:00:16Z"
NaslGuzlX94,"China y Europa - La ""nueva ruta de la seda” | DW Documental","28m 26s","2022-11-15T20:00:09Z"
dwe06xjozJk,"Robo, extorsión, rescate: el oscuro mundo del arte robado | DW Documental","42m 26s","2022-11-14T20:00:15Z"
MCykWPnir6c,"La identidad judía en Tel Aviv - Freitagnacht Jews | DW Documental","45m 34s","2022-11-11T17:00:13Z"
"fn-FzvF5hNQ","Un hogar para los últimos gorilas de montaña del mundo | DW Documental","42m 26s","2022-11-10T20:00:17Z"
JaaT6dfaZtc,"La música en la Alemania nazi - El maestro y el chelista de Auschwitz | DW Documental","1h 25m 56s","2022-11-09T20:00:05Z"
pNA3DXgyO4E,"¿Qué significa climáticamente neutral? | DW Documental","27m 31s","2022-11-08T20:00:17Z"
GPYG30tqk2g,"La vida judía en Buenos Aires - Freitagnacht Jews | DW Documental","45m 16s","2022-11-04T20:00:11Z"
Hhch38neMrg,"Los peligros del microplástico | DW Documental","28m 26s","2022-11-01T20:00:05Z"
AoQRSbvaqzE,"Marruecos - Viaje por el Mediterráneo | DW Documental","25m 56s","2022-10-30T20:00:02Z"
1NpYeHGWFs0,"Ecologistas en peligro | DW Documental","51m 55s","2022-10-29T19:00:01Z"
ka7P1aR_4XM,"La vida judía en Londres - Freitagnacht Jews | DW Documental","43m 30s","2022-10-28T16:00:28Z"
jcdzJSB5uqU,"Las ambiciones de poder de Putin | DW Documental","42m 30s","2022-10-27T19:00:21Z"
oOn_rTintBk,"Comida para todos - El futuro de la alimentación | DW Documental","28m 26s","2022-10-25T19:00:20Z"
zKD_iXd_kvQ,"Cómo nuestro cerebro juzga a una persona en una fracción de segundo | DW Documental","42m 26s","2022-10-24T19:00:32Z"
MYcuVUBKg7Y,"Andalucía, España - Viaje por el Mediterráneo | DW Documental","25m 56s","2022-10-23T19:00:14Z"
3bJwlpaT4O8,"Cuba: Precios altos, filas y escasez de alimentos | DW Documental","51m 56s","2022-10-22T19:00:05Z"
Bw4BpLkL0r4,"El misterioso poblado de la Edad de Piedra | DW Documental","42m 26s","2022-10-20T19:00:06Z"
3bkCn540R7A,"Las islas Galápagos - Residuos plásticos en el Pacífico | DW Documental","28m 26s","2022-10-18T19:00:01Z"
N3iTDboPQ4o,"Sicilia, Italia - Viaje por el Mediterráneo | DW Documental","25m 56s","2022-10-16T19:00:08Z"
J9c2cFmdHmI,"Israel - Viaje por el Mediterráneo | DW Documental","25m 56s","2022-10-13T19:00:08Z"
"R-1AuSx5oD0","La incesante lucha de Bangladés contra las inundaciones | DW Documental","42m 26s","2022-10-12T19:00:17Z"
4m7LrWtyV_Q,"Túnez - Viaje por el Mediterráneo | DW Documental","25m 56s","2022-10-09T19:00:03Z"
_HbaFibIUNM,"Uzbekistán: En tren por la Ruta de la Seda | DW Documental","42m 26s","2022-10-05T19:00:25Z"
kRMHjmaNTyw,"La Documenta y el debate sobre el escándalo de antisemitismo | DW Documental","28m 26s","2022-10-04T19:00:14Z"
1MFJaS6_ANQ,"Viento y cambio climático | DW Documental","51m 56s","2022-10-01T19:00:01Z"
Dc3a7SvdTfA,"Arquitectas: cómo es trabajar en un sector dominado por hombres | DW Documental","58m 49s","2022-09-30T19:00:06Z"
"RRxJ7U0-G90","Manipulación y el poder de las emociones | DW Documental","42m 26s","2022-09-29T19:00:09Z"
i3gctejOnYc,"La ciencia de los explosivos | DW Documental","42m 26s","2022-09-28T19:00:14Z"
obhfaYDpMaQ,"Naciones - Lucha por las identidades nacionales | DW Documental","28m 26s","2022-09-27T19:00:30Z"
PG2ee3RjYhk,"Creta, Grecia - Viaje por el Mediterráneo | DW Documental","25m 56s","2022-09-25T19:00:17Z"
njlWZmg09co,"Vivir en Alemania tras unirse a Estado Islámico | DW Documental","42m 26s","2022-09-22T19:00:16Z"
MhXMjCtrV5A,"Malta - Viaje por el Mediterráneo | DW Documental","25m 56s","2022-09-18T19:00:13Z"
VYXLwhVxkHE,"Irán desde el aire - En las montañas | DW Documental","42m 26s","2022-09-17T19:00:13Z"
cIleiSrN5_Y,"El conflicto de Taiwán - La amenaza china | DW Documental","42m 26s","2022-09-16T19:00:12Z"
JbqwTz94Unw,"La crisis de Malí | DW Documental","42m 26s","2022-09-14T19:00:12Z"
nabj9Qy8dFg,"México: amor, sexo y tabúes | DW Documental","28m 26s","2022-09-13T19:00:28Z"
qiXKoggjvE8,"El precio de nuestro jugo de naranja | DW Documental","42m 26s","2022-09-12T19:00:19Z"
dvSmekffHbg,"Chipre - Viaje por el Mediterráneo | DW Documental","25m 56s","2022-09-11T19:00:10Z"
528lmme8vU0,"Las mayores expediciones de la humanidad | DW Documental","42m 26s","2022-09-09T19:00:01Z"
elt2K11qu_Q,"La reina Isabel II y sus primeros ministros - La monarca más longeva de Gran Bretaña | DW Documental","42m 27s","2022-09-08T18:22:26Z"
"m60WsO5B-SU","La guerra de Ucrania - Finlandia ante la adhesión a la OTAN | DW Documental","28m 26s","2022-09-06T19:00:30Z"
