"Video ID",Title,Length,Published
S8g2R7mja9Q,"Siberian Tiger Gets BRUTAL Revenge on Russian Hunter | The UnXplained","5m 4s","2023-01-12T21:00:10Z"
BYUzPQZIoWc,"My Ghost Story: Active Spirits in Area Where Psychiatric Hospital Was Burned Down","7m 3s","2023-01-11T23:00:05Z"
BOuVg0fUQCI,"Sacred Cambodian Temple Mimics Dragon Constellation | Ancient Aliens #shorts",1m,"2023-01-11T21:30:01Z"
ffmqqumgT0Q,"Pacific Bermuda Triangle dubbed DRAGON'S TRIANGLE (S3, E11) UFO Files | Full Episode","44m 41s","2023-01-10T23:00:17Z"
rKTgA0OKYSw,"Uncovering the Real Labyrinth of Bull-Headed Man (S1, E4) True Monsters | Full Episode","40m 7s","2023-01-09T23:00:34Z"
oq24Avjeqqo,"Shelley Long Confronts Civil War Spirits (S2, E15) Celebrity Ghost Stories | Full Episode","43m 14s","2023-01-08T23:00:18Z"
KZNpQJR2CtA,"Ancient Aliens: Paracas Skull DNA Test","4m 31s","2023-01-08T21:00:09Z"
XmLzBImbJCU,"Studying Sasquatch Footprints in California (S4, E8) MonsterQuest | Full Episode","44m 20s","2023-01-07T23:00:12Z"
_rihGDoSQEY,"My Haunted House: Fixer Upper Home Causes Couple to Hallucinate the Future","9m 48s","2023-01-06T23:00:19Z"
"gO0GWhW-Ei0","Magician Picks The Pockets Of Various Unsuspecting Pedestrians (S1, E5) Mondo Magic | Full Episode","21m 18s","2023-01-05T23:00:16Z"
mc24gyssIAg,"Wolf Beast Goes on Murderous Rampage | The UnXplained","8m 19s","2023-01-05T21:00:30Z"
O36FJd1h5RM,"My Ghost Story: Voices of Ghosts Recorded on Tape in Haunted Hotel","6m 32s","2023-01-04T23:00:09Z"
WJ009WkI6AQ,"Ancient Astronaut Theorists Believe Bermuda Triangle Can Manipulate Time | Ancient Aliens #shorts",58s,"2023-01-04T21:30:05Z"
K0L6BxRTd8o,"Take an Imagined Tour of an Alien Spacecraft (S3, E4) UFO Files | Full Episode","45m 30s","2023-01-03T23:00:18Z"
Q68xe83FaYo,"The Real Monsters Behind our Greatest Legends (S1, E3) True Monsters | Full Episode","41m 17s","2023-01-02T23:00:08Z"
vYdrbJUn8eY,"Taylor Hicks Receives A Life-Changing Message (S2, E14) Celebrity Ghost Stories | Full Episode","43m 12s","2023-01-01T22:59:52Z"
VkIDjYbwq88,"Ancient Aliens: Ancient Alien DNA","5m 8s","2023-01-01T20:59:54Z"
t24HzUe8XGQ,"Tracking Down ""the Real Hobbit"" in Indonesia (S1, E12) MonsterQuest | Full Episode","45m 30s","2022-12-31T22:59:48Z"
SHEaTcKVe1E,"My Haunted House: Young Girl Taps Into Dark Magic Trying to Communicate With Her Late Father","9m 48s","2022-12-30T23:00:20Z"
"qry-BYRwJI4","Magicians in Canada Amaze Crowds w Spontaneous Performances (S1, E4) Mondo Magic | Full Episode","21m 45s","2022-12-29T23:00:24Z"
c1USOGvdf5M,"4,000-Year-Old City Destroyed by God's Wrath | The UnXplained","7m 35s","2022-12-29T21:00:25Z"
"e1b-l2I4010","My Ghost Story: Woman is Physically Attacked by an Evil Spirit","7m 38s","2022-12-28T23:00:24Z"
JrzS2NgdtQQ,"PROOF That the Family She Saw in Her Past Life REALLY EXISTED! | Who Was I? My Past Lives #Shorts",37s,"2022-12-28T20:00:09Z"
