"Video ID",Title,Length,Published,"Region Restriction Count"
Tkqo1wsbq50,"Gun Violence In America: What Is The Solution? (Gun Debate Documentary) | Real Stories","1h 3m 38s","2022-11-03T17:00:30Z",""
_entnSEVkzc,"Prisoners Were Forced To Perform Horrific Apartheid ""Dance"" 😞 #shorts",50s,"2022-11-02T22:00:15Z","5 (blocked)"
dWxwtILhfvE,"Decadence and Downfall In Iran: The Greatest Party In History | Real Stories","1h 16m 19s","2022-11-01T17:00:33Z",""
10VFmPftY6E,"No-One But Kids See Ghosts In Haunted House 👻 #shorts",50s,"2022-10-31T22:00:00Z",""
ynvx9ryutDQ,"The Man Who Doesn’t Breathe (Extraordinary Person Documentary) | Real Stories","1h 27m 24s","2022-10-30T17:00:46Z",""
eYlnZWYDrcs,"America's First Traveling Cat Circus (Acro-Cats Documentary) | Real Stories","57m 22s","2022-10-29T16:00:21Z","9 (allowed)"
Z9UxxCvAdJI,"American High School: Straight Outta Orangeburg (Complete Series) | Real Stories","4h 34m 49s","2022-10-27T16:00:19Z","5 (blocked)"
"hoPt-UqegK8","Pushcart Men: Jamaica's Most Extraordinary Race (Unique Sports Documentary) | Real Stories","50m 47s","2022-10-25T16:00:24Z",""
9WXIHuCH1c8,"Married For 71 Years: Irwin & Fran (Romance Documentary) | Real Stories","1h 21m 46s","2022-10-23T16:00:05Z",""
_kDktGj2Wuo,"Taken: Canada's Missing Women (True Crime Marathon) | Real Stories","2h 9m 27s","2022-10-22T16:00:31Z","7 (allowed)"
duOwZI3TYgY,"Killer Used Secret Hidden Rooms To DISPOSE His Victims 🤢 #shorts",52s,"2022-10-21T18:00:19Z","1 (blocked)"
31ZgQ8ugzPE,"How Apple Almost Went Bankrupt In The Mid-90s (Tech Giant Documentary) | Real Stories","46m 7s","2022-10-20T16:00:04Z",""
juuLhSLIY4E,"She Has ZERO Remorse After Shooting Someone Blind 🔫 #shorts",51s,"2022-10-19T18:00:16Z","6 (blocked)"
uoSfO21O2cs,"Understanding The British Class System (Nick Broomfield Documentary) | Real Stories","28m 44s","2022-10-18T16:00:37Z","9 (allowed)"
0JiYp_2fgkg,"They Don't Make Trailers Like These Anymore... 🙈 #shorts",54s,"2022-10-17T18:00:00Z","1 (blocked)"
t844au1XTPk,"America's Oldest Hospital: Abandoned (Hurricane Katrina Documentary) | Real Stories","1h 3m 47s","2022-10-16T16:00:28Z",""
ZRfWrNGEVN0,"Victims Suffered Severe Irreversible Damage To Their Health 😞 #shorts",50s,"2022-10-14T18:00:18Z","5 (blocked)"
"czvB-MJkYnw","His Memory Is Short, But His Love Is Infinite ❤️ #shorts",51s,"2022-10-13T17:00:20Z",""
AwZXGn2n_RY,"Silence After The Storm: Return To My Homeland (Syria Documentary) | Real Stories","25m 19s","2022-10-13T16:00:05Z",""
5yODrHk2jUM,"It All Went So Wrong, But They Still Went Ahead?! 🤯 #shorts",44s,"2022-10-11T17:00:03Z","5 (blocked)"
lqk8wBIA5jw,"Birthright: A War Story (Abortion Rights Documentary) | Real Stories","1h 39m 20s","2022-10-11T16:00:33Z","9 (allowed)"
YFGkL4wUFQw,"The Abduction Of Amber Guiboche (Missing Woman Documentary) | Real Stories","22m 2s","2022-10-09T16:00:20Z","9 (allowed)"
WX_2z4SnZNM,"Britain's Killer Kids (True Crime Documentary Marathon) | Real Stories","2h 9m 34s","2022-10-08T16:00:20Z","5 (blocked)"
"I-2va4CJm0A","Princess Diana's Cunning Plan Fools The Paparazzi... Almost 🇫🇷 #shorts",1m,"2022-10-07T17:00:09Z",""
WvUzRbDCLBA,"Home Page: The Story Of The World's First Blogger (Internet Pioneer Documentary) | Real Stories","1h 41m 1s","2022-10-06T16:00:30Z",""
RxeLjHNJSb4,"Journalist Ruins Margaret Thatchers Perm Hair Salon Appointment 💇‍♀️ #shorts",59s,"2022-10-05T17:00:15Z","4 (allowed)"
jSw6KF_6xt4,"I Survived 31 Days Using Only Craigslist (Social Experiment Documentary) | Real Stories","1h 30m 28s","2022-10-04T16:00:35Z","9 (allowed)"
KP_s_q2vpHQ,"Princess Diana's Killer Has Been EXPOSED! 📸 #shorts",1m,"2022-10-03T17:00:11Z",""
XZentyg9T2E,"The Marijuana Murderer (True Crime Documentary) | Real Stories","45m 41s","2022-10-02T16:00:16Z",""
f8VPeVenkpI,"The Case Of The Killer Nurse (Trevor McDonald Crime Documentary) | Real Stories","45m 58s","2022-10-01T16:00:32Z","6 (blocked)"
BkYfn8zNweU,"Do These 2 Boys Understand The Cost of Living Crisis Better Than Most Adults 🥶 #shorts",46s,"2022-09-30T17:00:07Z",""
CH4QAcJ84PU,"Part Of His Brain Is Missing But He Remembers EVERYTHING 🧠 #shorts",45s,"2022-09-29T11:00:11Z",""
RoVH9ousKIo,"The Greatest Art Heist Of The 21st Century (Stolen Van Gogh Documentary) | Real Stories","59m 12s","2022-09-27T16:00:19Z","6 (blocked)"
Ty77j2cXwO8,"Child Explains The Struggles And Stress of Energy Prices ❄️ #shorts",38s,"2022-09-26T18:00:07Z",""
WLUmNKaVCcQ,"Anxiety And Me (Mental Health Documentary) | Real Stories","58m 26s","2022-09-25T16:00:12Z","5 (blocked)"
"Zl4-jfDQanY","Cropsey And The Missing Children (Urban Legend Documentary) | Real Stories","1h 24m 55s","2022-09-24T16:00:30Z","9 (allowed)"
3QyDhBqAH3U,"How To Sell An Addict & Profit! 💸 #shorts",53s,"2022-09-23T21:00:03Z","9 (allowed)"
QkLBXZgmjr8,"The Lives of NHS Doctors on the Frontline (Medical Documentary) | Real Stories","23m 4s","2022-09-22T16:00:12Z","5 (blocked)"
v6zb9xlN0fA,"The Love He Feels For His Partner Is EVERYTHING 💔 #shorts",55s,"2022-09-21T21:00:32Z",""
ntlFFwnZJtM,"Missing Kenley: Full Series (Mysterious Disappearance Documentary) | Real Stories","5h 7m 46s","2022-09-20T16:00:28Z",""
iZZM7NAM5I0,"What Are The 3 Recovery Stages For Drug Addicts? 💊 #shorts",55s,"2022-09-19T21:00:16Z","9 (allowed)"
GQIrEHTUYDU,"Life On The Psych Ward (Forensic Psychiatry Patients Documentary) | Real Stories","47m 8s","2022-09-18T16:00:12Z","4 (blocked)"
"MzBoYFO-q60","A Hippie Paradise That Ended In A Series Of Tragedies (Counterculture Documentary) | Real Stories","1h 25m 39s","2022-09-17T16:00:12Z",""
2sNonVHU1uM,"Teen CAUGHT For Murder! But Won't Admit 🚨 #shorts",53s,"2022-09-16T18:00:03Z","5 (blocked)"
CwCflvCs2CE,"The Deadly Arizona Heist (True Crime Documentary) | Real Stories","50m 9s","2022-09-15T16:00:10Z","1 (blocked)"
vZqdYzI5NBA,"Is This Drug Addict Really A Modern Day Robin Hood? 💰 #shorts",47s,"2022-09-14T18:00:33Z","1 (blocked)"
fdeqDtIvS9g,"American Relapse (Addiction Recovery Documentary) | Real Stories","1h 43m 12s","2022-09-13T16:00:31Z","9 (allowed)"
O2lVuYh3MVY,"When Queen Elizabeth II met Prince Harry's Wounded Heroes!",56s,"2022-09-12T16:00:12Z",""
EZRX7p4BeZc,"Father of 26 Shares His Radical Philosophy 🫣 #shorts",51s,"2022-09-09T18:00:06Z",""
UaavlhbA2EA,"The Legacy Of Queen Elizabeth II: A Lifetime of Service (British Monarch Documentary) | Real Stories","50m 9s","2022-09-09T16:00:31Z",""
rO_pKxICvOQ,"A Quick Message from Adam Pearson - Freak Show #Shorts",42s,"2022-09-08T17:00:25Z",""
ISbi6fJqMEk,"Adam Pearson: Freak Show (Medical Conditions Documentary) | Real Stories","55m 24s","2022-09-08T16:00:10Z",""
3IrCdRHsMYQ,"The Crimes of Ted Bundy And Night Stalker (Serial Killers Documentary) | Real Stories","1h 26m 26s","2022-09-06T16:00:01Z","103 (blocked)"
t1NOGFOyAHg,"Found Dead In A River | Who Killed Reena? (True Crime Documentary) | Real Stories","46m 11s","2022-09-04T16:00:33Z",""
aKZuwoYLkWo,"Mobsters, Gangsters And Informants | Sir Trevor Mcdonald Mafia Marathon | Real Stories","2h 14m 35s","2022-09-03T16:00:01Z","1 (allowed)"
7RGt0lN7MTM,"The Original Air Jordans Were BANNED! 👟 #shorts",58s,"2022-09-02T18:00:04Z","9 (allowed)"
kjbAT_iSw2k,"Tracking Down Maggie (Margaret Thatcher Documentary) | Real Stories","1h 23m 53s","2022-09-01T16:00:26Z","5 (allowed)"
EJXmwKdo8pM,"Sisters DEMANDED They Go To Court In PJ's?! ⚖️ #shorts",43s,"2022-08-31T18:00:04Z",""
