"Video ID",Title,Length,Published
"G-bqC1NgXpA","Would you drink recycled sewage? | 60 Minutes Australia","13m 39s","2022-11-07T17:00:19Z"
jNzW6CitiN8,"Shocking expose of accused 'religious cult' Esther House | 60 Minutes Australia","46m 23s","2022-11-07T11:30:17Z"
0F0xSBEKkiU,"INVESTIGATION: How Australia's borders are being breached by overseas crooks | 60 Minutes Australia","16m 57s","2022-11-07T00:01:46Z"
hGOpZeU7GA8,"Inside the battle for Taiwan and China's looming war threat | 60 Minutes Australia","30m 46s","2022-11-06T11:00:25Z"
"NsjiWA9VY-I","What will happen when the world runs out of oil? | 60 Minutes Australia","13m 48s","2022-11-03T16:00:20Z"
KneYjU0x2go,"New revelations in the outrageous saga of con artist Melissa Caddick | 60 Minutes Australia","45m 49s","2022-11-02T10:30:07Z"
WIl5H_Yl3fg,"SNEAK PEEK: Flashpoint Taiwan | 60 Minutes Australia",53s,"2022-11-02T07:33:11Z"
"G9wI-QtF82A","Who abducted two little girls from a football game in broad daylight? | Under Investigation","43m 24s","2022-10-31T10:45:01Z"
pFddArTfjhQ,"Mormon church accused of ripping off taxpayers by millions of dollars | 60 Minutes Australia",19m,"2022-10-30T10:48:19Z"
FOran43Ju9U,"Exposing an international human trafficking ring hidden in plain sight | 60 Minutes Australia","28m 29s","2022-10-30T10:28:49Z"
F4soyu2chGY,"The devastating effects of video game addiction on children | 60 Minutes Australia","23m 15s","2022-10-27T23:03:17Z"
WIFuicEy868,"SNEAK PEEK: Cooking the Book of Mormon | 60 Minutes Australia",59s,"2022-10-27T06:00:51Z"
VCNN83NBR60,"Rare and mysterious disease causes victims' skin to fall off | 60 Minutes Australia","14m 5s","2022-10-26T19:00:11Z"
j0GumFCjMLU,"SNEAK PEEK: Sex slavery in the Sunshine State | 60 Minutes Australia",55s,"2022-10-26T07:32:43Z"
"yVjA4P4-1fk","Radical protesters risk their lives to stop Japan's whaling industry | 60 Minutes Australia","14m 24s","2022-10-25T16:00:40Z"
p3IY6D5HPmE,"Convicted school shooter joins calls for gun control in America | 60 Minutes Australia","16m 23s","2022-10-24T13:00:37Z"
eDtvkNDSAzM,"Dark Seas: What happens when cruising goes wrong? | Under Investigation",42m,"2022-10-24T10:58:00Z"
ZX8i_nhDRvM,"Why can't a highly celebrated brain surgeon operate in his own country? | 60 Minutes Australia","54m 26s","2022-10-23T10:57:12Z"
XO3CSaQCjz0,"Rising from the rubble: The sole survivor of a devastating landslide | 60 Minutes Australia","27m 38s","2022-10-19T17:00:30Z"
9BSD68MBHFI,"SNEAK PEEK: A Major Joint Investigation | 60 Minutes Australia",30s,"2022-10-19T08:33:59Z"
"FBHWJOn6R-U","Murder Highway: Secrets and savagery in the Australian outback | Under Investigation","42m 15s","2022-10-17T10:49:51Z"
FKsR6rxxk60,"SPECIAL INVESTIGATION: What really happened to missing backpacker Theo Hayez? | 60 Minutes Australia","48m 3s","2022-10-16T10:43:11Z"
bWS8J0vtn18,"SNEAK PEEK: Nightmare in Paradise | 60 Minutes Australia",58s,"2022-10-12T06:34:10Z"
1UAhYwKZVRc,"Will the daughter of wife-killer Chris Dawson ever forgive him? | 60 Minutes Australia","4m 29s","2022-10-12T01:32:37Z"
qnu0fcxSY2E,"How police pieced together the clues to find Lynette Dawson's killer | 60 Minutes Australia","2m 49s","2022-10-11T04:49:54Z"
ABQEZxybmag,"The teachers who became heroes when terrorists attacked Bali | 60 Minutes Australia","4m 42s","2022-10-10T03:19:18Z"
YLXBdvLKK3k,"The 'invisible casualties' of the Bali bombings | 60 Minutes Australia","5m 35s","2022-10-10T02:59:30Z"
0TlCxPH3Oic,"Politics vs Love: Australia's divisive gay marriage debate | 60 Minutes Australia","13m 46s","2022-10-09T15:00:01Z"
gMytdJI13eQ,"The untold story of the miracle survivor of the Bali bombings | 60 Minutes Australia",19m,"2022-10-09T10:47:12Z"
YzavCU9YH1E,"EXCLUSIVE: The daughter of wife-killer Chris Dawson speaks out | 60 Minutes Australia","31m 1s","2022-10-09T10:26:43Z"
fJLgMRYK2fE,"Mystery of abandoned wartime submarine reveals dark hidden secrets | 60 Minutes Australia","15m 48s","2022-10-06T15:00:32Z"
gNXnrmts_tE,"SNEAK PEEK: Return to Bali | 60 Minutes Australia","1m 2s","2022-10-05T08:09:55Z"
ZUEcakMo5vI,"The Hate Police: Exposing the cops who terrorised the gay community | Under Investigation","43m 58s","2022-10-05T03:26:33Z"
V3CFPvOiuSI,"SNEAK PEEK: Shanelle Dawson | 60 Minutes Australia",56s,"2022-10-04T07:12:15Z"
IpF2ox9NGeI,"The Nile: Exploring the longest, wildest, most mysterious river in the world | 60 Minutes Australia","17m 14s","2022-10-03T17:00:10Z"
hPqkEKRbjIs,"SNEAK PEEK: A Must-See Event | 60 Minutes Australia",20s,"2022-10-02T09:55:30Z"
VlcNcWABBvE,"Australia's own real Desperate Housewives: Inside the modern mid-life crisis | 60 Minutes Australia","13m 59s","2022-09-29T17:00:16Z"
BhAFpWDF2oc,"Brave Aussie risks her life to save best friend injured in Bali bombings | 60 Minutes Australia","5m 32s","2022-09-28T02:08:18Z"
6ucx1YNWQfM,"Learning how to dance with Antonio Banderas | 60 Minutes Australia","12m 54s","2022-09-26T14:00:06Z"
tAStAH36ejg,"Murder or Suicide? The Cop Who Knew Too Much | Under Investigation","46m 48s","2022-09-26T11:45:03Z"
EV_VM4ATFok,"Grieving parents' mission to honour sons killed in the Bali bombings | 60 Minutes Australia","3m 5s","2022-09-26T01:20:02Z"
elSTsHgmENA,"Bali bombing survivor's heartwarming reunion with medic who treated her | 60 Minutes Australia","3m 48s","2022-09-25T23:55:48Z"
8KFR1r1VWE8,"Police officer recounts the horrific aftermath of the Bali bombings | 60 Minutes Australia",4m,"2022-09-25T23:10:45Z"
"K47IXCq8-bY","EXCLUSIVE: Ukrainian First Lady Olena Zelenska on the fight against Russia | 60 Minutes Australia","10m 49s","2022-09-25T11:52:57Z"
hiVaU4J89xE,"Stories from Ground Zero: The Bali bombings 20 years on | 60 Minutes Australia","41m 37s","2022-09-25T11:44:15Z"
xsNfTy093Qo,"The perilous journey to save an iconic Aussie animal from extinction | 60 Minutes Australia","13m 48s","2022-09-24T17:00:27Z"
EGAOQD5NQgk,"Licence to print money: Inside the billion-dollar childcare industry | 60 Minutes Australia","13m 58s","2022-09-22T18:00:07Z"
Nloi5_XKjmQ,"SNEAK PEEK: The First Lady | 60 Minutes Australia","1m 6s","2022-09-22T07:24:14Z"
BpIYS4SfBeo,"SNEAK PEEK: Bali 20 Years | 60 Minutes Australia","1m 11s","2022-09-21T08:36:22Z"
skrJJki2MnM,"What kind of monarch will King Charles III be? | 60 Minutes Australia","3m 58s","2022-09-21T04:54:30Z"
1Ku9SrsgPjI,"The Real Price of Freedom: How this brave woman made the deal of her life | 60 Minutes Australia","15m 52s","2022-09-18T17:00:02Z"
D3O3svTqS8o,"Queen Consort Camilla: The emerging star of the new-look Royal Family | 60 Minutes Australia","10m 52s","2022-09-18T11:59:14Z"
gaYJcxcspfk,"The gruesome evidence turning some patients of a hero surgeon against him | 60 Minutes Australia","45m 30s","2022-09-18T11:57:14Z"
8JCHJRPcXJ4,"SNEAK PEEK: Queen Consort Camilla | 60 Minutes Australia",40s,"2022-09-16T08:00:02Z"
S9uYzC5l3zc,"Sex, drugs and stretching? How the Rolling Stones keep rocking after 60 years | 60 Minutes Australia","13m 52s","2022-09-15T14:00:21Z"
l7k2aHbRlUA,"Does King Charles III have what it takes to wear the crown? | 60 Minutes Australia","51m 19s","2022-09-15T04:13:48Z"
"IV0H-Aca72E","SNEAK PEEK: Cut to the Point | 60 Minutes Australia",59s,"2022-09-14T07:25:39Z"
257RKRCDoDc,"Reporter's deeply personal story about multiple sclerosis | 60 Minutes Australia","14m 13s","2022-09-12T14:00:01Z"
2Z5WCz4ulCc,"Does King Charles III have what it takes to wear the crown? | 60 Minutes Australia","52m 53s","2022-09-11T11:40:30Z"
lLaJVsATUXo,"Inside the horrific Australian Navy rescue mission that ended in tragedy | 60 Minutes Australia","17m 23s","2022-09-09T14:00:33Z"
ddWWv_2bvQQ,"SNEAK PEEK: King Charles III | 60 Minutes Australia",59s,"2022-09-09T09:33:37Z"
Xdb_qDKlqco,"From Rocky to Rambo: Sitting down with Sylvester Stallone | 60 Minutes Australia","11m 34s","2022-09-06T19:00:16Z"
1j0hkGzi79Y,"How a mother and daughter survived the monster in their family home | 60 Minutes Australia","5m 40s","2022-09-06T05:25:10Z"
IMKmazFTz6c,"The landmark court case that 'legitimised' Multiple Personality Disorder | 60 Minutes Australia","6m 51s","2022-09-06T03:34:22Z"
3V5Cj8d43Yw,"Innocent man facing the death penalty saved by Seinfeld creator | 60 Minutes Australia","18m 17s","2022-09-04T19:00:02Z"
__vi2RG5k4U,"Lynette Dawson: Solving the crime that gripped Australia for 40 years | 60 Minutes Australia","6m 47s","2022-09-04T11:40:31Z"
4bxYRwJZvXc,"Woman survives horrific child abuse by developing 2500 personalities | 60 Minutes Australia","17m 40s","2022-09-04T11:33:40Z"
YxQd4FFQ0UU,"Britney Spears' ex-husband breaks his silence in controversial interview | 60 Minutes Australia","18m 48s","2022-09-04T11:00:31Z"
WDLeSDAAVZY,"SNEAK PEEK: A true survivor living life to the fullest | 60 Minutes Australia",57s,"2022-09-01T08:50:26Z"
bqyYlzjXjao,"Man found guilty twice of murdering a baby still allowed to walk free | 60 Minutes Australia","18m 54s","2022-08-31T14:00:30Z"
95GOz1vDwxw,"SNEAK PEEK: Exclusive interview with Kevin Federline | 60 Minutes Australia",51s,"2022-08-31T08:19:05Z"
nwDygNVPZoI,"The controversial invention claiming to stop serious car accidents | 60 Minutes Australia","14m 55s","2022-08-28T14:00:31Z"
cKlQu2oGeh0,"COSMETIC CRISIS: Inside the out-of-control cosmetic surgery industry | 60 Minutes Australia","5m 39s","2022-08-28T11:30:15Z"
z0ytQP_Xx2g,"EXPOSED: The Australian casino accused of serious misconduct | 60 Minutes Australia","17m 43s","2022-08-28T11:30:10Z"
k2aDVOwQE4Q,"SNEAK PEEK: Out Of Luck | 60 Minutes Australia",51s,"2022-08-26T07:05:42Z"
VG_SP42h8Fc,"Why was an Australian citizen unlawfully detained in her own country? | 60 Minutes Australia","14m 56s","2022-08-24T16:45:00Z"
ZlFAV_Mb6tE,"SNEAK PEEK: Danielle Laidley | 60 Minutes Australia",1m,"2022-08-24T08:21:57Z"
"mWxTq-u6cDM","Inside the wild lives of Australian Moulin Rouge dancers in Paris | 60 Minutes Australia","13m 38s","2022-08-21T14:00:20Z"
"A41WX-Xamf4","What happens when making people beautiful goes horribly wrong? | 60 Minutes Australia","47m 55s","2022-08-21T12:22:33Z"
tzhiDRMb1SA,"SNEAK PEEK: A Worse Look | 60 Minutes Australia","1m 7s","2022-08-19T08:00:18Z"
oW6vv4aPAxQ,"The Baby Girl Taken by a Dingo: The tragic saga of Azaria Chamberlain | 60 Minutes Australia","20m 20s","2022-08-19T07:03:34Z"
gmV_uPfgq3Y,"Why so many Aussies are swapping the city for the country | 60 Minutes Australia","14m 28s","2022-08-18T14:00:20Z"
jdi6M3UNVU8,"Mathematician explains the 'simple' loophole used to win the lottery | 60 Minutes Australia","3m 57s","2022-08-16T05:17:23Z"
aPaAeNVpZd4,"Why actor Bryan Cranston couldn't say no to lottery 'love story' | 60 Minutes Australia","5m 8s","2022-08-16T02:55:02Z"
abZ2bZBpjlU,"Horror & Carnage: The tragic fallout of the London Bombings | 60 Minutes Australia","14m 15s","2022-08-14T14:00:01Z"
V3bEKCLY2as,"Remembering Olivia Newton-John | 60 Minutes Australia","8m 26s","2022-08-14T11:30:17Z"
