"Video ID",Title,Length,Published,"Region Restriction Count"
YyHjnsUV5h8,"Magellanic Penguin Chick Joins the Aviary | The Zoo","8m 58s","2022-03-25T13:00:16Z","1 (blocked)"
ENCsAQCHXGc,"Saving an Endangered Turtle That Swallowed Fishing Hooks! | Crikey! It's the Irwins","8m 58s","2022-03-18T13:00:07Z","1 (blocked)"
O8PZ0fFJgUI,"Endor the Fennec Fox Has an Enlarged Heart | The Zoo","10m 49s","2022-03-12T14:00:08Z","1 (blocked)"
7QC9hXLcj0A,"Breeding Komodo Dragons at Australia Zoo | Crikey! It's the Irwins","16m 40s","2022-03-05T14:00:05Z","1 (blocked)"
gAHTzU6Sw64,"The Bronx Zoo's First Red-Crested Turaco Hatching in 30 Years! | The Zoo","10m 17s","2022-02-25T14:00:14Z","1 (blocked)"
LyaRWLbBrnM,"Chandler Swims With an Anaconda! | Crikey! It's the Irwins","11m 7s","2022-02-15T14:00:09Z","1 (blocked)"
lpEVHPKj270,"Relocating Ten Massive Alligators! | Crikey! It's the Irwins","11m 31s","2022-02-02T17:00:22Z","1 (blocked)"
ouwS_BTs1OE,"Isabella the Beaver Needs a Tooth Trimming! | The Zoo","7m 10s","2022-01-28T14:00:33Z","1 (blocked)"
J4M5MpoCKI4,"Douglas the Jabiru's Crocoseum Debut! | Crikey! It's the Irwins","12m 28s","2022-01-21T14:00:09Z","1 (blocked)"
XGclpq8TpEc,"Lynx Kittens Explore Their Exhibit for the First Time! | The Zoo","9m 9s","2022-01-14T14:00:23Z","1 (blocked)"
FIb8Ht_hfbk,"Robert Irwin and Team Help Save a Bleeding Snake! | Crikey! It's the Irwins","10m 3s","2022-01-06T16:30:02Z","1 (blocked)"
VFNKnuhJaPo,"Robert Irwin Rescues an Entangled Black Swan | Crikey! It's the Irwins","12m 9s","2021-10-27T16:30:08Z","1 (blocked)"
"6YCNUExzr-U","Helping Preserve the Grevy's Zebra Population | The Zoo: San Diego","8m 42s","2021-10-08T14:00:07Z","1 (blocked)"
toiRd2Wf87Y,"Chandler Does a Croc Death Roll! | Crikey! It's the Irwins","9m 36s","2021-09-23T19:39:29Z","1 (blocked)"
WwkznNurvqE,"Raising an Orphaned Koala Joey (Part 2) | The Zoo: San Diego","8m 23s","2021-09-21T13:03:27Z","1 (blocked)"
UgIMyBbUAlY,"Raising an Orphaned Koala Joey (Part 1) | The Zoo: San Diego","8m 47s","2021-09-17T20:00:44Z","1 (blocked)"
Sdq3r6Fpk0s,"Bindi Irwin and Australia Zoo Team Save Poisoned Corellas | Crikey! It's the Irwins","9m 27s","2021-09-09T18:13:06Z","1 (blocked)"
