"Video ID",Title,Length,Published
dHt5CtV7enU,"What Keeps Astronauts Up At Night?",7m,"2022-07-19T19:00:39Z"
Jdcsaq224e4,"How We Know Star Wars Isn’t A Documentary | Compilation","12m 54s","2022-07-15T19:00:09Z"
Lf4EDcjMtmw,"Special Webb Update: The Webb's First Four (actually 7) Images Explained","7m 48s","2022-07-14T21:30:41Z"
eP2dHMRB8eo,"Eclipses That Don't Eclipse","6m 13s","2022-07-12T22:55:54Z"
9hvzfJTIET0,"The Chinese Mission Finding Water on Mars","5m 20s","2022-07-05T21:47:49Z"
"r-CqiIch-G8","Intergalactic Gardeners | Compilation","14m 51s","2022-07-01T19:00:15Z"
m4vjxlbPgH8,"Why These Rovers Will Never Go To Mars","5m 38s","2022-06-28T20:18:39Z"
Hp2rP5QH0LA,"“Do Fabulous Science”: Jane Rigby | Great Minds","5m 55s","2022-06-24T19:00:07Z"
aJkEGH96u0k,"Could E.T. Really Find Us? | Compilation","19m 48s","2022-06-21T19:00:00Z"
0CGQVmJdrc0,"Fun in the Summer Sun… on Saturn","5m 57s","2022-06-17T20:28:54Z"
1k2vwZ70bXs,"Earth Doesn’t Orbit the Sun","3m 32s","2022-06-10T19:23:31Z"
"Ohgu-eIDQtM","Detecting Tornadoes Early by Observing Lightning... from Space","5m 53s","2022-06-07T19:41:14Z"
27mR3SrJukg,"Mama, Where Do Galaxies Come From?","6m 25s","2022-06-03T21:52:41Z"
iREdM_adLbo,"Where Are All the Exo-Earths?","5m 9s","2022-05-31T20:55:52Z"
"-wKveDjeUvI","Why These Two Planets SHOULD Be the Same","5m 23s","2022-05-27T21:20:18Z"
"-Y2pxYhgZA0","Space Medicine: What We Need and What We Have","6m 37s","2022-05-24T21:46:38Z"
oyrVXaP65UY,"A Telescope Bigger Than the Solar System","7m 43s","2022-05-20T19:00:16Z"
eD36PtrD86o,"How Saturn's Moons Could Help Us Live in Space","6m 49s","2022-05-17T21:54:03Z"
AtQqZq2WaPc,"The Hottest Exoplanets in the Universe","5m 59s","2022-05-13T19:00:03Z"
Umu613bK7W8,"We Might Be Wrong About Planet Formation","6m 13s","2022-05-10T23:12:42Z"
3gEGqH5itVE,"That Time NASA Recycled a Mars Lander","4m 22s","2022-05-03T20:41:18Z"
9AYIdZxpzxo,"We’re Talking To Aliens","6m 8s","2022-04-29T22:40:23Z"
3_FmY251aLE,"Can We Grow Plants On the Moon?","6m 47s","2022-04-26T23:23:29Z"
PE1TB4LLiOM,"Do Black Holes Have Quantum Hair?","6m 11s","2022-04-22T20:14:14Z"
XcAQ65aH6yU,"How to Clean Up After Ourselves in Space","6m 34s","2022-04-19T19:00:21Z"
vyGokoBTnEA,"How to Tilt a Black Hole",6m,"2022-04-12T21:00:19Z"
J3dy_Q5UJHA,"What Do You Learn When You Touch the Sun?","4m 47s","2022-04-05T19:00:07Z"
jkPGnzJlF5o,"That’s Not a Black Hole, It’s a Vampire","5m 50s","2022-03-29T19:14:55Z"
DT6NZ8dNaBw,"What Will Happen to The ISS?","6m 4s","2022-03-25T19:00:05Z"
u2qqJfKKAow,"How Does Space Change Your Brain?","6m 15s","2022-03-22T22:52:35Z"
TFlBof0mtf0,"From Optics to Spacewalks: Dr. Ellen Ochoa | Great Minds","5m 32s","2022-03-18T22:07:44Z"
bP1gJdv72g8,"Could Squirrels Be the Key to Long Distance Spaceflight?","6m 14s","2022-03-15T21:09:50Z"
zk9D9hVNs2s,"What’s Hiding Inside The Crab Nebula?","6m 8s","2022-03-11T20:00:12Z"
KE3QJvglfqI,"Helping Build the Internet: Valerie Thomas | Great Minds","5m 50s","2022-03-08T21:12:42Z"
oDi9aMLF66E,"Two Decades Later, We Know Why the Sun Is a Lava Lamp","5m 14s","2022-03-04T20:07:11Z"
apuQh1Vve3I,"Pioneer 10: Our First View into Outer Planets","5m 30s","2022-03-01T20:00:01Z"
Na_BkGTjC7E,"The Oldest Crater from a Meteorite…Isn’t a Crater after All?","5m 38s","2022-02-22T22:13:41Z"
6GKWoI63FrY,"Is the Size of Neutron Stars A Lie, Or Only A FRIB?","4m 23s","2022-02-18T20:18:30Z"
yzmy2vmdkmA,"Space Headwinds Might Help Us Find Dark Matter","6m 34s","2022-02-15T21:56:00Z"
"2pAVHB2-uas","The Massive Chunk of Metal Hiding in the Moon","5m 23s","2022-02-11T20:00:02Z"
c3kVg9rfH6w,"The Sweetest Rocks in Space","5m 30s","2022-02-07T20:00:08Z"
K8auC3Mdr9Q,"How 19th Century Lighthouses Power Advanced Space Drives","5m 34s","2022-02-01T20:05:43Z"
Iy3aHIUNwAE,"What's Next for the James Webb Space Telescope","6m 44s","2022-01-28T20:00:05Z"
E2sf8oysuZI,"Why Don't Comets Ever Have a Green Tail?","6m 35s","2022-01-25T20:49:09Z"
