"Video ID",Title,Length,Published
OGvNQPEsrlY,"#وثائقي #shorts التربية الكثيفة للحيوانات ومستقبل الزراعة الحديثة (2/1)",39s,"2023-02-14T15:00:17Z"
uvr72AJ2zm0,"وثائقي | التربية الكثيفة للحيوانات ومستقبل الزراعة الحديثة | وثائقية دي دبليو","32m 20s","2023-02-13T19:00:19Z"
"a8tBTIvvB-M","#وثائقي #shorts ليبيا ـ تدمير أمة",32s,"2023-02-13T16:00:00Z"
FKtW0wjo3r0,"وثائقي | العنصرية في ألمانيا | وثائقية دي دبليو","42m 26s","2023-02-12T19:00:07Z"
XqpIkjzqJVo,"وثائقي | الساحل الإفريقي: الحرب على الإرهاب | وثائقية دي دبليو","42m 26s","2023-02-11T18:00:12Z"
Cc4PuAvGw68,"وثائقي | تركيا - زلزال إسطنبول - خطر محدق وإنذار مبكر (إعادة نشر) | وثائقية دي دبليو","42m 26s","2023-02-10T15:00:14Z"
p1HBD7nerDg,"وثائقي | المناخ والأثرياء: طائرات خاصة ويخوت و سيارات رياضية | وثائقية دي دبليو","27m 11s","2023-02-09T18:00:20Z"
3MJ9CgHya7A,"#وثائقي #shorts كيف انتقلت رواندا من الحرب الأهلية إلى أكثر البلدان نجاحاً في إفريقيا؟",31s,"2023-02-08T15:00:02Z"
"W-0dp3PRzYk","ريبورتاج | ألمانيا الغنية الفقيرة - اتساع الفجوة بين الأغنياء والفقراء | وثائقية دي دبليو","12m 25s","2023-02-07T18:00:11Z"
EViqk7powas,"#وثائقي #shorts أغذية فائقة الجودة أم قاتلة للمناخ؟",31s,"2023-02-04T15:00:19Z"
SRymnoC3Vrw,"وثائقي | الأفوكادو والتوت الأزرق: أغذية فائقة الجودة أم قاتلة للمناخ؟ | وثائقية دي دبليو","42m 26s","2023-02-03T19:00:20Z"
vvNpQhMW6v0,"#وثائقي #shorts هل كان بالإمكان إيقاف هتلر؟",32s,"2023-02-01T15:00:40Z"
SRosYW9jHKw,"ريبورتاج | معاداة الإسلام في الهند: أغانٍ هندية عنصرية تحرض على المسلمين | وثائقية دي دبليو","12m 26s","2023-01-30T19:00:11Z"
Do1XHtsDnvY,"وثائقي | كيف تُفسر تجارب الاقتراب من الموت و لحظات الاحتضار؟ | وثائقية دي دبليو","25m 56s","2023-01-29T19:00:04Z"
vKYXpS2yMis,"وثائقي | هل ستنفصل اسكتلندا عن المملكة المتحدة؟ | وثائقية دي دبليو","28m 26s","2023-01-28T19:00:19Z"
0Khr37PYhkY,"وثائقي | مناجم مدغشقر - كيف دخلت الأحجار الكريمة إلى عالم التجميل و العلاج الروحي؟| وثائقية دي دبليو","42m 26s","2023-01-25T19:00:00Z"
UssOpa_7gHs,"ريبورتاج | ما طبيعة الوظائف المتاحة لذوي الاحتياجات الخاصة؟ | وثائقية دي دبليو","12m 27s","2023-01-24T19:00:09Z"
Nv3WSehZBRU,"وثائقي | كيف سيساعد الذكاء الاصطناعي على توفير الغذاء للجميع في المستقبل؟ | وثائقية دي دبليو","25m 56s","2023-01-22T19:00:16Z"
SfraacwdeV8,"#وثائقي #shorts هل وصل ذكاء البشرية إلى ذروته؟",35s,"2023-01-20T16:00:12Z"
V1KwA4Px_H0,"وثائقي | هل يمكن إنقاذ آخر الغابات البكر وحيوانات الرنة في لابلاند في شمال أوروبا؟| وثائقية دي دبليو","28m 21s","2023-01-19T19:00:13Z"
Qtfo5bk9zfk,"#وثائقي #shorts صيادو الأسماك في سيراليون في غرب إفريقيا",34s,"2023-01-19T15:00:23Z"
9uZ_zxUUWX0,"وثائقي | صيادو الأسماك في سيراليون في غرب إفريقيا - قوارب جديدة وشباك خاوية | وثائقية دي دبليو","42m 26s","2023-01-18T19:00:04Z"
JSw5O8XPxXk,"#وثائقي #shorts البحث عن مهد البشرية في جنوب إفريقيا",35s,"2023-01-18T15:00:20Z"
qCeSfqlWEo4,"ريبورتاج | منسقات دي جي في السعودية - مهرجان للموسيقى الإلكترونية في الرياض | وثائقية دي دبليو","12m 26s","2023-01-16T19:00:20Z"
Lxg723xkvlI,"وثائقي | هل وصل ذكاء البشرية إلى ذروته؟ | وثائقية دي دبليو","25m 56s","2023-01-15T19:00:15Z"
ze17PNfVPFA,"وثائقي | البحث عن مهد البشرية في جنوب إفريقيا - البحث عن شفرة الإنسان في كرومدراي | وثائقية دي دبليو","42m 26s","2023-01-14T19:00:31Z"
J6z59z1smQc,"وثائقي | هل العولمة في أزمة؟ - الهجرة في زمن العولمة (2/2) | وثائقية دي دبليو","42m 26s","2023-01-13T19:00:07Z"
GsDScfTe2HQ,"وثائقي |البرازيل - ما ردة فعل المجتمع البرازيلي على فوز لولا بالانتخابات الرئاسية؟| وثائقية دي دبليو","28m 26s","2023-01-12T19:00:13Z"
SROmFtoztvE,"#وثائقي #shorts الهجرة غير الشرعية من هندوراس هرباً من الفقر والعنف والعصابات",47s,"2023-01-11T15:00:24Z"
spPvcE6FbK8,"وثائقي | الهجرة غير الشرعية من هندوراس إلى أمريكا هرباً من الفقر والعنف والعصابات | وثائقية دي دبليو","42m 26s","2023-01-10T19:00:30Z"
mTGpqnjVtNw,"#وثائقي #shorts عالم الأزياء الفاخر والنخبوي - من ينتمي إليه حقاً؟",58s,"2023-01-10T15:00:23Z"
SjQddv5Ukho,"ريبورتاج | كيف تساعد منظمات الإغاثة الألمانية أطفال أفغانستان؟ | وثائقية دي دبليو","12m 26s","2023-01-09T19:00:13Z"
pVDEGepgGD8,"وثائقي | هل العولمة في أزمة؟ - رابحون وخاسرون في التجارة العالمية (2/1) | وثائقية دي دبليو","42m 26s","2023-01-06T19:00:16Z"
e2yZ5v4pHno,"وثائقي | خطر الانهيارات الثلجية في النمسا - تأمين منصات التزلج في جبال الألب | وثائقية دي دبليو","28m 26s","2023-01-05T19:00:13Z"
AuEhjDUTI4c,"وثائقي | غابات تايغا أكبر غابات العالم و رئة روسيا الخضراء في خطر | وثائقية دي دبليو","42m 26s","2023-01-04T19:00:05Z"
I2u89iYnxc8,"#وثائقي #shorts كيف تنتج المؤثرات الصوتية للأفلام؟",48s,"2023-01-03T15:00:14Z"
b0JpeE7Q4pI,"وثائقي | كيف تنتج المؤثرات الصوتية للأفلام الناجحة كسلسلة أفلام هاري بوتر؟ | وثائقية دي دبليو","25m 56s","2023-01-01T19:00:10Z"
"rJxbJ-SZj2g","وثائقي | هل سيتشكل صراع جديد بين القوى العظمى في القطب الشمالي؟(2/2) | وثائقية دي دبليو","42m 27s","2022-12-30T19:00:18Z"
QqOAxlzEeSM,"#وثائقي #shorts قصص ناجين في سوريا وإيطاليا وأوكرانيا",31s,"2022-12-29T15:00:24Z"
aBg6xRtP1rw,"ريبورتاج | حياة الطفلة ميلا مع والدايها الكفيفين في ألمانيا | وثائقية دي دبليو","12m 26s","2022-12-27T19:00:01Z"
tGftyQVxgKA,"#وثائقي #shorts كيف يؤثر إنجاز مهام متعددة في آن واحد على دماغنا؟",38s,"2022-12-27T16:30:07Z"
7RwDmj13ZhA,"وثائقي | لماذا تتنافس القوى العظمى على موارد القطب الشمالي برغم ذوبان الجليد؟(2/1)| وثائقية دي دبليو","42m 26s","2022-12-25T19:00:02Z"
JAmjgtwam8I,"وثائقي | لماذا تعمد بعض حدائق الحيوانات في ألمانيا لقتل بعض حيواناتها؟ | وثائقية دي دبليو","28m 26s","2022-12-22T19:00:05Z"
"WwJDLPm-VSE","#وثائقي #shorts رحلة إلى القطب الشمالي",31s,"2022-12-21T15:00:26Z"
6VjsNxhqrnU,"ريبورتاج | ميانمار - مقاومة مسلحة ضد الجيش والديكتاتورية العسكرية | وثائقية دي دبليو","12m 26s","2022-12-19T19:00:03Z"
ghtLgekCSiA,"#وثائقي #shorts ما عواقب انقراض النحل على العالم؟",24s,"2022-12-19T15:00:21Z"
rNZzrEObNXs,"وثائقي | زراعة البن - أساليب جديدة ومستدامة لإنتاج القهوة في هندوراس و ألمانيا | وثائقية دي دبليو","25m 56s","2022-12-18T19:00:14Z"
V5IkhzmWx3M,"#وثائقي #shorts جزيرة سانت هيلينا",19s,"2022-12-16T15:00:18Z"
LrdmtN_Kp7E,"وثائقي | كيف يؤثر إنجاز مهام متعددة في آن واحد على دماغنا؟ | وثائقية دي دبليو","42m 26s","2022-12-15T19:00:06Z"
78QeOo0THHE,"وثائقي | ظاهرة انقراض النحل - ما عواقب انقراض النحل على العالم؟ | وثائقية دي دبليو","42m 26s","2022-12-14T19:00:02Z"
RfhT4Mdid_g,"#وثائقي #shorts كيف تكون الحياة ما بعد الكارثة؟",56s,"2022-12-13T15:00:26Z"
kPpI_9tqM1I,"ريبورتاج | من ينقذ الصومال من خطر المجاعة و تغير المناخ؟ | وثائقية دي دبليو","12m 26s","2022-12-12T19:00:26Z"
3j3u99vd5YM,"#وثائقي #shorts مدينة خيرسون تحت الحكم الروسي",35s,"2022-12-12T15:00:02Z"
_WnFnJZRTpg,"وثائقي | مدينة خيرسون تحت الحكم الروسي - قصص من حرب أوكرانيا | وثائقية دي دبليو","42m 26s","2022-12-09T19:00:10Z"
trA8bURM_cc,"#وثائقي #shorts كيف تنتج الأزياء المستدامة في سويسرا؟",29s,"2022-12-09T15:00:35Z"
LnczKEro6JU,"وثائقي | تربية ديدان القز وصناعة الملابس - كيف تنتج الأزياء المستدامة في سويسرا؟ | وثائقية دي دبليو","28m 26s","2022-12-08T19:00:14Z"
